================ Training Loss (Wed Nov 26 13:10:48 2025) ================
[Rank 0] (epoch: 1, iters: 5400, time: 0.009, data: 0.023) , G_GAN: 0.863, G_L1: 8.494, D_real: 0.893, D_fake: 0.351

[Rank 0] (epoch: 1, iters: 5500, time: 0.009, data: 0.023) , G_GAN: 1.011, G_L1: 8.764, D_real: 0.439, D_fake: 0.656

[Rank 0] (epoch: 1, iters: 5600, time: 0.010, data: 0.022) , G_GAN: 1.268, G_L1: 8.584, D_real: 0.476, D_fake: 0.638

[Rank 0] (epoch: 1, iters: 5700, time: 0.010, data: 0.024) , G_GAN: 1.044, G_L1: 8.371, D_real: 0.874, D_fake: 0.467

[Rank 0] (epoch: 1, iters: 5800, time: 0.010, data: 0.023) , G_GAN: 0.628, G_L1: 8.491, D_real: 0.558, D_fake: 0.725

[Rank 0] (epoch: 1, iters: 5900, time: 0.009, data: 0.024) , G_GAN: 1.634, G_L1: 8.568, D_real: 0.370, D_fake: 1.007

[Rank 0] (epoch: 1, iters: 6000, time: 0.011, data: 0.023) , G_GAN: 0.995, G_L1: 8.678, D_real: 1.158, D_fake: 0.289

[Rank 0] (epoch: 1, iters: 6100, time: 0.010, data: 0.024) , G_GAN: 0.648, G_L1: 8.012, D_real: 0.703, D_fake: 0.507

[Rank 0] (epoch: 1, iters: 6200, time: 0.010, data: 0.023) , G_GAN: 1.148, G_L1: 8.171, D_real: 0.401, D_fake: 0.906

[Rank 0] (epoch: 1, iters: 6300, time: 0.010, data: 0.023) , G_GAN: 1.149, G_L1: 8.239, D_real: 0.781, D_fake: 0.469

[Rank 0] (epoch: 1, iters: 6400, time: 0.010, data: 0.024) , G_GAN: 0.628, G_L1: 8.147, D_real: 0.664, D_fake: 0.525

[Rank 0] (epoch: 1, iters: 6500, time: 0.010, data: 0.023) , G_GAN: 1.318, G_L1: 8.210, D_real: 0.373, D_fake: 0.889

[Rank 0] (epoch: 1, iters: 6600, time: 0.010, data: 0.023) , G_GAN: 0.996, G_L1: 8.329, D_real: 0.723, D_fake: 0.435

[Rank 0] (epoch: 1, iters: 6700, time: 0.010, data: 0.024) , G_GAN: 0.916, G_L1: 8.493, D_real: 0.580, D_fake: 0.525

[Rank 0] (epoch: 1, iters: 6800, time: 0.010, data: 0.023) , G_GAN: 1.016, G_L1: 8.324, D_real: 0.543, D_fake: 0.521

[Rank 0] (epoch: 1, iters: 6900, time: 0.010, data: 0.024) , G_GAN: 1.034, G_L1: 8.523, D_real: 0.520, D_fake: 0.501

[Rank 0] (epoch: 1, iters: 7000, time: 0.010, data: 0.023) , G_GAN: 1.177, G_L1: 7.980, D_real: 0.515, D_fake: 0.454

[Rank 0] (epoch: 1, iters: 7100, time: 0.010, data: 0.023) , G_GAN: 0.971, G_L1: 7.807, D_real: 0.525, D_fake: 0.461

[Rank 0] (epoch: 1, iters: 7200, time: 0.010, data: 0.024) , G_GAN: 1.329, G_L1: 7.704, D_real: 0.454, D_fake: 0.568

[Rank 0] (epoch: 1, iters: 7300, time: 0.010, data: 0.024) , G_GAN: 0.627, G_L1: 7.745, D_real: 0.770, D_fake: 0.394

[Rank 0] (epoch: 1, iters: 7400, time: 0.010, data: 0.023) , G_GAN: 1.710, G_L1: 7.437, D_real: 0.307, D_fake: 0.968

[Rank 0] (epoch: 1, iters: 7500, time: 0.010, data: 0.021) , G_GAN: 1.102, G_L1: 7.801, D_real: 1.020, D_fake: 0.252

[Rank 0] (epoch: 1, iters: 7600, time: 0.010, data: 0.024) , G_GAN: 0.908, G_L1: 7.651, D_real: 0.630, D_fake: 0.577

[Rank 0] (epoch: 1, iters: 7700, time: 0.010, data: 0.024) , G_GAN: 1.385, G_L1: 7.640, D_real: 0.577, D_fake: 1.034

[Rank 0] (epoch: 1, iters: 7800, time: 0.010, data: 0.022) , G_GAN: 1.126, G_L1: 7.548, D_real: 0.845, D_fake: 0.944

[Rank 0] (epoch: 1, iters: 7900, time: 0.010, data: 0.023) , G_GAN: 1.059, G_L1: 7.446, D_real: 0.719, D_fake: 0.750

[Rank 0] (epoch: 1, iters: 8000, time: 0.025, data: 0.023) , G_GAN: 1.017, G_L1: 7.120, D_real: 0.647, D_fake: 0.696

[Rank 0] (epoch: 1, iters: 8100, time: 0.010, data: 0.023) , G_GAN: 1.050, G_L1: 7.779, D_real: 0.590, D_fake: 0.620

[Rank 0] (epoch: 1, iters: 8200, time: 0.010, data: 0.024) , G_GAN: 1.105, G_L1: 8.241, D_real: 0.567, D_fake: 0.483

[Rank 0] (epoch: 1, iters: 8300, time: 0.010, data: 0.023) , G_GAN: 0.953, G_L1: 7.202, D_real: 0.593, D_fake: 0.452

[Rank 0] (epoch: 1, iters: 8400, time: 0.010, data: 0.021) , G_GAN: 1.115, G_L1: 7.687, D_real: 0.481, D_fake: 0.552

[Rank 0] (epoch: 1, iters: 8500, time: 0.010, data: 0.024) , G_GAN: 1.107, G_L1: 7.949, D_real: 0.492, D_fake: 0.418

[Rank 0] (epoch: 1, iters: 8600, time: 0.010, data: 0.023) , G_GAN: 1.252, G_L1: 7.718, D_real: 0.410, D_fake: 0.461

[Rank 0] (epoch: 1, iters: 8700, time: 0.010, data: 0.023) , G_GAN: 1.240, G_L1: 7.420, D_real: 0.511, D_fake: 0.428

[Rank 0] (epoch: 1, iters: 8800, time: 0.010, data: 0.023) , G_GAN: 0.826, G_L1: 6.955, D_real: 0.580, D_fake: 0.421

[Rank 0] (epoch: 1, iters: 8900, time: 0.010, data: 0.022) , G_GAN: 1.588, G_L1: 7.339, D_real: 0.362, D_fake: 0.650

[Rank 0] (epoch: 1, iters: 9000, time: 0.010, data: 0.024) , G_GAN: 0.942, G_L1: 7.351, D_real: 0.831, D_fake: 0.259

[Rank 0] (epoch: 1, iters: 9100, time: 0.010, data: 0.021) , G_GAN: 1.135, G_L1: 7.722, D_real: 0.333, D_fake: 0.584

[Rank 0] (epoch: 1, iters: 9200, time: 0.010, data: 0.022) , G_GAN: 1.479, G_L1: 7.143, D_real: 0.490, D_fake: 0.618

[Rank 0] (epoch: 1, iters: 9300, time: 0.010, data: 0.022) , G_GAN: 1.353, G_L1: 7.357, D_real: 0.742, D_fake: 0.509

[Rank 0] (epoch: 1, iters: 9400, time: 0.010, data: 0.021) , G_GAN: 1.044, G_L1: 6.899, D_real: 0.634, D_fake: 0.581

[Rank 0] (epoch: 1, iters: 9500, time: 0.010, data: 0.024) , G_GAN: 1.378, G_L1: 7.203, D_real: 0.539, D_fake: 0.766

[Rank 0] (epoch: 1, iters: 9600, time: 0.010, data: 0.024) , G_GAN: 0.890, G_L1: 6.972, D_real: 0.744, D_fake: 0.418

[Rank 0] (epoch: 1, iters: 9700, time: 0.010, data: 0.024) , G_GAN: 1.391, G_L1: 7.191, D_real: 0.353, D_fake: 0.632

[Rank 0] (epoch: 1, iters: 9800, time: 0.010, data: 0.021) , G_GAN: 1.213, G_L1: 7.586, D_real: 0.584, D_fake: 0.456

[Rank 0] (epoch: 1, iters: 9900, time: 0.010, data: 0.023) , G_GAN: 1.039, G_L1: 7.460, D_real: 0.540, D_fake: 0.504

[Rank 0] (epoch: 1, iters: 10000, time: 0.011, data: 0.023) , G_GAN: 0.780, G_L1: 7.046, D_real: 0.667, D_fake: 0.356

[Rank 0] (epoch: 1, iters: 10100, time: 0.010, data: 0.021) , G_GAN: 1.467, G_L1: 7.066, D_real: 0.334, D_fake: 0.752

[Rank 0] (epoch: 1, iters: 10200, time: 0.010, data: 0.024) , G_GAN: 0.965, G_L1: 7.342, D_real: 0.662, D_fake: 0.365

